Occupation,Lifespans
Coach (basketball),"[81, 67]"
Coach (sport),"[82, 55, 82, 60, 83, 67]"
Athletic director,"[82, 85, 61]"
Stunt performer,"[60, 73, 69, 73, 86, 87, 28, 80, 64, 71, 58, 73, 83, 70, 77, 83, 92, 96, 60, 39, 70, 77, 64, 36, 90, 85, 78, 52, 54, 52, 85, 73, 62, 74, 92, 88, 83, 63, 76, 82, 70, 82]"
List of jazz musicians,"[68, 62, 69, 90, 65]"
Groom (profession),[59]
Speech,"[71, 93]"
Veterinary physician,"[82, 91, 59, 53, 76, 83, 69, 70, 85, 86, 62, 85]"
Dentistry,"[76, 36, 57]"
Clairvoyance,"[68, 53, 75]"
Engraving,"[73, 86, -27, 70, 1, 74, 67, 43, 74, 43, 84, 61, 71, 74]"
Collecting,"[90, 58, 87]"
NASA,"[91, 74, 87, 86]"
Dentist,"[66, 74, 76, 92, 50, 64, 79, 55, 54, 75, 74, 63, 47, 70, 51, 68, 88, 58, 78, 80, 57, 91, 69, 78, 92, 80, 72, 103, 70, 63]"
Financier,"[70, 93, 62, 68, 85, 96, 95, 65, 49, 73, 78, 76, 78, 76, 97, 61, 61, 72, 107, 67, 84, 81, 74, 78, 95, 82, 83, 51, 80, 84, 65, 87, 68, 76, 74, 58]"
Diplomacy,"[76, 60, 56, 59, 74, 69, 72, 69, 69, 85, 47, 55]"
Hydraulic engineering,"[85, 92, 74]"
Airlines for America,[54]
Stutz Motor Company,[54]
North American Aviation,[86]
Union Minière du Haut Katanga,[84]
Disbarment,[69]
War correspondent,"[57, 50, 41, 86, 54, 55, 71, 50, 67, 66, 34, 97, 65, 77, 28, 76, 62, 72, 59, 64, 69, 45, 79]"
Environmentalist,"[104, 60, 93, 81, 82, 72, 95, 86, 96, 92, 96, 85]"
Her Majesty's Civil Service,"[80, 88, 76]"
Order of the British Empire,[83]
Distinguished Service Order,[83]
Order of the Bath,"[83, 83]"
Mentioned in dispatches,[83]
List of humorists,"[46, 87, 71, 73, 49, 76, 74, 42, 73, 81, 93, 35, 80, 69, 52, 68]"
Cabaret,"[85, 56, 79, 71]"
Music,"[96, 58, 76]"
Balloon,"[32, 96]"
Suffragette,"[88, 68, 51, 41, 74, 70, 87, 54, 90, 94, 72, 77, 76, 96, 93, 89, 85, 93, 75, 80, 76, 92, 76, 73, 81, 65, 71]"
Reform movement,"[88, 85, 61, 56, 53, 57, 91, 78, 84, 83, 93, 87, 86, 85, 49, 65, 45]"
List of clarinetists,"[66, 83, 83, 79, 75, 82, 60, 90, 71]"
Perfumer,[91]
Stage management,"[65, 53, 76, 93, 76, 69]"
Newspaper,"[87, 67, 66, 91, 59, 70, 71, 80, 42, 38, 72, 83, 58, 84, 79, 82, 89, 76, 53, 84, 62]"
Audio engineer,"[68, 54, 71, 84, 80, 80, 89, 85, 71, 86, 76, 75, 65, 30, 84, 85, 78, 65, 84, 87, 67, 88, 80, 80, 63, 81, 94, 88, 92, 63, 82, 77, 75, 87, 91, 80, 88, 82, 89, 87, 90, 78, 53, 81, 76, 92, 96, 57, 71, 99, 60, 76, 77, 91, 62, 51, 73, 66, 60, 62, 81, 91, 74, 78, 70, 64, 71, 66, 76, 79, 75, 58, 78, 73, 79, 84, 70, 68, 91, 92, 95, 64, 71, 91, 66, 47, 81, 62, 54, 89, 71, 44, 58, 89, 83, 79, 61, 78, 62, 82, 61, 38, 80, 63, 45, 78, 75, 85, 75, 74, 75, 70, 84, 64, 46]"
Surveying,"[30, 63, 31, 53, 84, 82, 49, 85, 72, 63, 83, 74, 68, 64, 76, 63, 95, 87, 86, 77, 81, 81, 66, 74, 78, 75, 87, 72, 62, 58, 63, 84, 71, 72, 66, 45, 56, 62, 85, 79, 95, 66, 84, 79, 27, 70, 61, 81, 72, 81, 57, 71, 78, 55, 76, 53, 59, 63, 75, 68, 78]"
Seguin Texas,[68]
Coroner,"[72, 70, 95, 77, 50, 89]"
Envoy (title),[52]
Ornithology,"[77, 78, 71, 88, 66, 83, 63, 53, 74, 80, 69, 82, 46, 74, 32, 67, 73, 66, 83, 89, 62, 86, 97, 82, 77, 55, 73, 86, 73, 63, 69, 71]"
Architectural historian,"[68, 70]"
Carpentry,"[50, 87, 23, 29, 67, 73, 77, 91, 71, 42, 76, 69, 38, 89, 70, 1720, 74, 72, 35, 69, 79, 71, 56, 91, 54, 58, 62, 70, 73]"
Stagehand,"[50, 83]"
Pfizer,[75]
Plantations in the American South,"[72, 92, 88, 47, 69, 46, 59, 59, 61, 74, 72, 44, 58, 48, 48, 64, 65, 70, 83, 60, 68, 49, 70, 70, 46, 83, 58, 68, 85, 81, 63, 66, 42, 63, 32, 83, 52, 77, 84, 52, 65]"
New York City,"[52, 65]"
Pathology,"[81, 87, 69, 87, 74, 81, 63, 62, 87, 95, 96, 57, 56, 65, 73, 84, 85, 89]"
Pedology (soil study),[81]
Coach (baseball),"[89, 80, 90, 88]"
Manager (baseball),[89]
Waiting staff,"[57, 62, 44, 95, 23]"
High school,"[18, 78]"
Theory,"[63, 67]"
The Holocaust,"[69, 68, 50, 89, 58, 81]"
Thun,[74]
Ethnohistory,"[73, 84]"
Nazism,"[49, 99, 86, 80, 42, 60]"
Patronage,"[82, 65, 57, 85]"
Private collection,"[82, 88, 70, 62, 78, 80, 82, 82, 80, 61, 72, 73, 79, 87, 78, 91, 89, 81, 54, 99, 79, 85, 88, 72, 74, 67]"
Agriculture,"[71, 63, 125, 80, 77, 84]"
Senate,"[71, 91, 90, 83, 78, 96, 86, 86, 89, 82, 64]"
Sports journalism,"[85, 74, 91, 75, 91, 87, 93, 68, 100, 85, 68, 51, 68, 72, 90, 87, 87, 65, 68, 60, 92, 82, 74, 87, 57, 34, 82, 52, 103, 97, 72, 83, 79, 84, 89, 64, 59, 51, 83, 65, 69, 52, 80, 71, 68]"
Brokerage firm,"[100, 68]"
Mechanical engineering,"[74, 79, 47, 80, 94, 60, 81, 83, 58, 83, 87, 83, 80, 79, 97, 47, 81, 82, 88, 77, 85, 60, 75, 63, 75, 80, 92, 71, 87, 65]"
Church of England,"[78, 67, 68, 40, 99, 88]"
Royal Observer Corps,"[81, 77, 79, 79]"
List of High Sheriffs of Kent,[84]
Double agent,"[76, 34]"
Vice consul,[76]
Proprietor,"[71, 81, 39, 80, 98]"
Advertising,"[104, 78, 83, 90, 91, 84, 71, 55]"
Public relations,"[104, 81, 83, 77, 89, 39, 80, 61, 87, 86, 86]"
Royal Hospital Chelsea,"[90, 79]"
Medical missions in China,[95]
Counterfeit,"[57, 1781]"
Bounty hunter,"[57, 81]"
Physics,"[66, 88, 91, 54, 69, 77]"
England,"[85, 48, 53, 60, 94, 62, 70, 75]"
Socialism,"[85, 28, 56, 74]"
Anthology,"[85, 51]"
Gay,[85]
Soldier,"[84, 60, 70, 58, 54, 77, 65, 81, 54, 59, 82, 61, 63, 54, 69, 54, 81, 61, 80, 87, 82, 56, 106, 42, 77, 65, 94, 58, 74, 80, 54, 73, 57, 78, 74, 55, 88, 34, 69, 85, 77, 83, 44, 79, 89, 91, 74, 75, 63, 82, 57, 72, 60, 76, 46, 112, 36, 90, 21, 49, 63, 66, 54, 74, 53, 47, 65, 70, 42, 98, 60, 74, 22]"
Pastoral farming,"[84, 82, 57, 94, 77, 77, 59, 89, 70, 43, 65, 62, 80, 48, 84, 60, 69, 70, 64, 67, 70, 38, 71, -1804, 55, 75, 82, 82, 34, 76, 55, 78, 76, 94, 80, 40, 74, 85, 70, 92, 49, 62, 70, 73, 89, 80, 76, 84, 91, 69, 82, 60, 63, 67, 62, 86, 74, 66, 70, 72, 83, 70, 80, 75, 84, 45, 73, 75, 73, 38, 54, 91, 90, 85, 87, 77, 74, 82, 52]"
Mathmos,[82]
Newellton Louisiana,"[78, 62]"
List of mayors of Newham,[67]
Abolitionism in the United States,"[88, 49, 87, 87, 90, 86, 75, 32, 63, 65, 86, 77, 76, 57, 82, 85, 78, 81, 94, 27, 131, 80, 74, 69, 76, 74, 81, 70, 81, 74, 92, 89, 63]"
Attorney at law,"[77, 61, 78, 52, 83, 62, 87, 61, 81, 59, 81, 47, 76, 72, 66, 84, 76, 60, 89, 43, 85, 88, 43, 82, 73, 93, 61, 98, 61, 81, 28, 48, 46, 75, 56, 54, 82, 71]"
Sanskrit,"[87, 82, 41]"
Head teacher,"[59, 77, 75, 75, 78, 83, 52, 73, 87, 60, 96, 69, 86, 54, 78, 70, 54, 97, 91, 82, 91, 73, 65, 83]"
Printing,"[64, 74, 95, 90]"
The Pentagon,[91]
Mountaineering,"[70, 60, 24, 39, 70, 25, 91, 74, 32, 72, 53, 99, 83, 41, 34, 80, 86, 86, 95, 93, 36, 88, 81, 88, 85, 40, 72, 84, 49, 85, 74, 94, 79, 38, 60, 34]"
Fisherman,"[55, 83, 86, 87, 98]"
Lloyd's of London,[84]
Neurology,"[64, 74, 65, 68, 75, 91, 55, 72, 72, 69, 50]"
Western Australian Legislative Assembly,[75]
Sheriff,"[41, 61, 88, 69, 43, 66, 68, 73, 75, 75, 50, 76, 71, 62, 46, 68]"
Kappa Alpha Psi,"[89, 64, 79, 40, 68, 70, 72, 82]"
Bibliography,"[61, 86, 82, 56, 52, 70]"
International Brotherhood of Teamsters,"[66, 65]"
Royal Canadian Air Force,"[96, 79, 66, 76, 60, 93]"
Lepidoptera,[83]
Logging,"[89, 71, 79, 80, 87]"
Horse breeding,"[76, 87, 92, 103, 78, 75, 90, 67, 89, 95, 64, 87, 71, 71, 89, 87, 84]"
Woods Hole Oceanographic Institution,[72]
Shipping line,[66]
Mobil,[84]
Media proprietor,"[66, 92, 56, 73, 92, 80, 65, 68, 90, 81, 59, 83, 75, 77, 65, 55, 82, 31, 92, 84, 88, 69, 69, 49, 65, 61, 62, 77, 58, 68, 64, 60, 74]"
Shopping mall,[85]
Griffon Corporation,[64]
Political journalism,"[72, 45, 81, 60, 81, 49, 64]"
Ecology,"[92, 74, 75, 80]"
Irgun,[99]
Dean (education),"[67, 52, 59, 61, 56, 92, 72, 71, 93]"
Driller (oil),"[79, 75]"
General manager,"[69, 75, 76, 82]"
Olympic weightlifting,"[81, 105, 74]"
University of Sydney,[86]
University of Bristol,[86]
Commonwealth Bank,[86]
Humanitarian aid,"[66, 73]"
Shorthorn,[60]
Bureau of Indian Affairs,"[73, 103, 66]"
Greyhound Racing Association,[69]
Captain of the Yeomen of the Guard,[69]
Australia,"[83, 99, 81, 84]"
Solicitor,"[93, 83, 84, 93, 60, 80, 67, 85, 51, 68, 72, 39, 65, 28, 42, 75, 77, 49, 69, 52, 0, 32, 78, 71, 48, 75, 79, 65, 79, 55, 84, 84, 63, 76, 83, 82, 72, 76, 62, 78, 75, 88, 78, 97, 42, 68, 81, 58, 77, 88, 62, 83]"
Business manager,"[93, 78, 82]"
The Daily Telegraph,[80]
Treasurer,"[67, 79, 46]"
Yeomen of the Guard,[64]
Construction worker,"[69, 57, 91, 22]"
Tinning,[69]
Assam tea,[64]
Captain (naval),"[60, 62, 85, 82, 64, 37, 65, 63, 85]"
Jewellery,"[87, 96, 41, 78, 56, 73, 61, 76, 82, 88, 94, 67, 72]"
Mathematics,"[68, 81, 77, 46, 91, 76, 89, 88, 27, 56, 94, 79, 49]"
Oriental studies,"[87, 51, 47, 67, 64, 43, 86, 71, 85, 74, 81, 59, 92, 72, 69]"
Princeton University,"[85, 88]"
Military attaché,"[71, 93, 84]"
District attorney,"[83, 56, 64, 92, 59, 80, 73]"
City attorney,[83]
Superintendent (education),"[83, 94, 95, 82]"
Magistrate,"[77, 65, 76, 76, 64, 72, 40, 65, 80, 76, 51, 71, 79, 74, 59, 52, 83, 72, 69, 69, 91, 48, 86, 75, 76, 58, 64, 53, 88, 73]"
Psychologist,"[75, 69, 79, 72, 89, 84, 92, 75, 89, 79, 63, 61, 99, 67, 89, 86, 77, 83, 85, 72, 85, 98, 86, 90, 89, 88, 67, 92, 83, 74, 66, 87, 72, 79, 76, 76, 48, 84, 66, 77, 75]"
New Zealand Fire Service Commission,[90]
Poor Law Commission,[65]
Scholarly method,"[91, 71, 90, 89, 76, 82, 78, 74, 74, 102, 94, 58, 81, 59, 86, 116, 67, 90, 73, 78, 77, 53, 78, 78, 85, 66, 70, 65, 80, 73, 79, 90, 67, 75, 66, 40, 77, 85, 78, 92, 75, 60, 86, 67, 64]"
Literature,"[81, 72]"
Harvard University,"[62, 89, 89]"
Union Army,"[62, 52]"
Mercery,"[32, 58, 71, 73]"
Killed in action,[55]
Hatmaking,"[79, 100, 55, 84, 68, 58, 76, 93, 82, 85, 81, 68, 89, 73]"
Federal Bureau of Investigation,"[48, 50, 90, 107, 63]"
Private investigator,"[48, 69, 39, 77, 60, 74, 63]"
Pacific Coast Conference,[48]
List of Justices of the Supreme Court of California,[57]
Royal Air Force,"[34, 110, 31, 96]"
United States Marine Corps History Division,[86]
Emeritus,"[86, 86, 74, 80]"
Attorneys in the United States,"[30, 49, 99, 78, 88, 69, 83, 77, 62, 72, 51, 88, 74, 59, 73, 95, 79, 86, 89, 71, 57, 89, 86, 83, 60, 82, 65, 80, 82, 66, 89, 83, 68, 60, 84, 83, 42, 87, 68, 80, 85, 92, 73, 62, 75, 58, 91, 71]"
Rail transport,"[72, 61, 72, 82, 70, 74, 26, 49, 71, 69, 56, 115, 53, 86, 60, 76]"
United States Assistant Attorney General,[79]
Judge,"[84, 73, 88, 86, 45, 62, 83, 52, 85, 62, 88, 84, 69, 85, 86, 79, 75, 82, 94, 58, 78, 79, 71, 70, 76, 75, 73, 84, 65, 62, 90, 74, 79, 74, 76, 81, 85, 52, 85, 86, 91, 85, 85, 61, 81, 83, 78, 67, 88, 78, 55, 68, 78, 78, 73, 54, 57, 59, 95, 72, 85, 73, 76, 68, 74, 90, 71, 91, 59, 68, 7, 64, 70, 60, 75, 80, 88, 82, 91, 84, 83, 77, 60, 88, 76, 68, 77, 70, 56, 84, 84, 78, 91, 79, 85, 94, 77, 74, 86, 62, 77, 78, 70, 99, 85, 54, 86, 61, 87, 84, 59, 92, 94, 55, 71, 82, 79, 80, 81, 66, 77, 85, 88, 72, 92, 68, 49, 53, 65, 66, 60, 71, 69, 73, 64, 91, 89, 68, 74, 87, 84, 85]"
Queen's Counsel,"[84, 85, 83, 86, 80, 88]"
Royal Naval Air Service,[34]
News presenter,"[91, 64, 57, 90, 56, 70, 67, 66, 67, 72, 64, 63, 58, 76, 80, 81, 71, 73, 82, 87, 94, 75, 66, 73, 58, 73, 54, 67, 74, 87, 73, 61, 70, 47, 80, 67, 78]"
Pineville Louisiana,[80]
Baptists,"[80, 82, 61, 75, 85, 62, 78, 98, 64, 73, 57]"
College,"[75, 56, 83]"
Mission (Christianity),"[72, 73, 69, 72, 65, 68, 74, 88, 93, 59, 91, 87, 33, 85]"
Alderman,"[79, 79, 69]"
Deutsche Luft Hansa,"[31, 64, 46]"
History,"[74, 56, 84, 81, 54, 77, 78, 77, 82, 73, 71, 59]"
University of Applied Sciences Mainz,[75]
Orchestration,"[64, 79]"
Dressage,"[81, 70]"
Adigar,[56]
Sociology,"[86, 87, 58, 91, 72, 88, 58, 52, 93, 75, 87, 81, 58, 64, 76, 84, 95, 63, 70, 71, 70, 86, 49, 86, 80, 93, 86, 91, 78, 82, 81, 68, 76, 42, 75, 79, 57, 94, 73, 93, 68, 84, 75, 76, 60, 89, 87, 73, 79, 84, 40, 86, 62, 76, 91, 67, 97, 94, 97, 74, 80, 81]"
Toyota,[100]
Index of religious honorifics and titles,"[89, 67]"
Ford Models,[92]
Parapsychology,"[77, 64, 81, 46, 79, 66, 50, 77, 111, 71, 84, 89, 67, 88, 79, 70, 69]"
Mediumship,"[77, 77, 85, 49, 53, 59, 73]"
Navigator,"[89, 53, 61, 49, 55, 60, 51, 78, 34, 56, 47, 58, 56, 38, 54, 65, 38, 61, 42]"
Short story,"[78, 88, 80, 79, 44, 56, 61, 91, 83, 80, 62, 70, 55, 88, 85, 76, 83, 59, 67, 95, 65, 53, 38, 48, 61, 82, 74, 47, 86, 75, 77, 56, 64, 79, 67, 88]"
Mandole,[68]
Comptometer,[75]
Jockey,"[85, 20, 16, 89, 80, 20, 30, 47, 34, 71, 28, 69, 73, 82, 36, 83, 53, 62, 75, 90, 88, 72, 77, 74, 75, 65, 83, 62, 60, 79, 76, 50, 83, 70, 83, 26, 42, 73, 66, 50, 23, 87, 56, 79, 31, 71, 88, 35, 43, 73, 43, 42, 79, 40, 72, 66, 27, 64, 90, 69, 74, 76, 73, 84, 71, 72, 27, 71, 72, 74, 78, 57, 57, 45, 72, 35, 85, 38, 67, 53, 77, 90]"
Urban planner,"[95, 71, 93, 77, 55, 83, 67, 82, 79, 89]"
Modern dance,"[85, 69]"
Human voice,"[94, 30]"
Climbing,"[99, 92, 62]"
Athlete,"[97, 83, 83, 71, 69, 30, 84, 61, 94, 100, 86]"
Choir,"[72, 73, 91]"
Sideshow,[80]
Circus,"[80, 90, 62, 67, 83, 43]"
Pharmaceutical drug,"[60, 77, 91]"
Music executive,"[59, 74, 63, 47, 73, 81, 72, 80, 78, 92, 68, 39]"
Record label,"[59, 77, 72, 78, 83, 78, 62]"
Essex (UK Parliament constituency),[72]
Alchemy,"[75, 70, 59, 31, 56, 65, 54, 73]"
Astrology,"[75, 75, 59, 83, 58, 82, 54, 93, 63, 78, 72, 69, 84, 80, 78, 71, 86, 58, 63]"
Officer of arms,"[75, 70]"
Rowing (sport),"[93, 70, 74, 69, 75]"
Monologist,"[36, 70, 80, 69]"
Oiler (occupation),[85]
Lighting designer,"[83, 50, 66, 79]"
Sailor,"[82, 74, 90, 81, 78, 61, 85, 75, 55, 87, 61, 37, 85, 77, 30, 46, 68, 73, 46, 23, 55, 63, 77, 62]"
Union College,[93]
Presbyterianism,"[93, 81, 78, 73, 90, 68, 78, 66, 58, 67, 61]"
Brooklyn Heights Railroad,[67]
Royal mistress,[25]
Literary agent,"[0, 87, 86, 92, 73, 87, 70]"
Social Democratic Party of Germany,"[42, 66]"
Soprano,"[91, 66, 50, 78, 72, 84, 87, 83, 74, 43, 79, 85, 94, 65, 39, 95, 74, 56, 80, 81, 48, 64, 68]"
Toggenburg,[72]
Deaconess,"[99, 44, 69]"
Prison reform,"[49, 73]"
Courtesan,"[92, 97, 81, 46, 51, 76, 59, 26]"
Witnesses and testimonies of the Armenian Genocide,"[42, 63, 84, 88, 50]"
Thomas Wyatt (poet),"[57, 33]"
Women's suffrage,"[87, 69, 84, 87, 66, 92, 63, 88, 59, 81, 93, 72, 92, 82, 72]"
Audio typist,[87]
Nuclear chemistry,[91]
Chicago Housing Authority,"[94, 84]"
Isle of Man,[52]
Head of state,"[52, 70]"
Telegraphist,"[76, 74]"
History of literature,"[81, 81, 69, 87, 70, 86, 72, 43, 83, 71, 86, 70]"
Society of California Pioneers,[81]
Landscape architect,"[54, 79, 72, 94, 86, 38, 78, 92, 76, 85, 90, 81, 73, 68, 80, 83, 68, 84]"
Salon (gathering),"[62, 47, 70]"
Engineering geologist,[91]
Childfree,[53]
Impresario,"[92, 85, 89, 92, 50, 90, 86, 64, 47, 78, 73, 66, 82, 77, 64, 81, 61, 44, 33, 76, 97]"
European Union (resistance group),[43]
Cotton,"[82, 102, 91, 92, 58, 73, 71, 66, 64, 50, 90, 84, 73, 75]"
Keyser Ullman,"[70, 81]"
Merchant bank,"[70, 69, 81, 97]"
Trans Australia Airlines,"[83, 80]"
Capitalism,"[74, 85, 76, 72]"
Saratoga Springs New York,[88]
United States Office of War Information,[68]
University of Florida,[85]
Genoa,[96]
Fleming,[96]
Firearm,"[85, 65]"
Train robbery,"[31, 28, 37]"
Nordstrom,"[89, 69, 92]"
Whistling,"[86, 90]"
Nobility of the First French Empire,"[47, 64, 38, 71, 70, 60, 77, 52, 89, 47, 64, 54, 74, 64, 41, 55, 86, 80, 77, 40, 72, 86, 41, 50, 73, 48, 67, 59, 65, 53, 55, 68, 48, 65, 59, 80, 87, 44, 38, 43, 70]"
List of comics creators,[76]
Nobility,"[23, 67, 80, 64, 79, -3, 39, 55]"
Garden designer,"[91, 66, 93]"
Geology,"[76, 75, 85, 78]"
Gossip columnist,"[80, 84, 78, 81]"
Heathenry (new religious movement),[92]
Organizational theory,[69]
Dairy,"[70, 53, 76, 77, 84, 90, 87, 82, 79, 87]"
Real estate,"[74, 61, 88, 86, 77, 59, 66, 68, 87, 75, 79, 72, 88, 83, 75, 57, 60]"
Vedette (cabaret),"[83, 76, 49, 63, 99, 80, 98, 72, 70]"
Natural gas,"[68, 95, 90, 79]"
Automotive industry,"[68, 67, 73]"
Foundry,"[68, 65, 66, 69]"
Casting,[68]
Outlaw,"[66, 40, 26, 32, 96, 57, 32, 32, 34, 31, 54, 35, 80, 26, 64, 66]"
Veena,"[65, 63, 60, 85]"
Typography,"[51, 20, 69, 99, 85, 34, 40, 87, 81, 74, 81]"
Demography,"[51, 75, 93, 84, 85, 67]"
Statistician,"[51, 80, 83, 57, 63, 73, 84, 86, 69, 94, 51, 92, 69, 67, 74, 55]"
Chief Justice,"[81, 57, 91, 74, 83, 52, 59, 55, 79]"
Weapon,[1582]
Mathematical instrument,"[1582, 65]"
Generał brygady,[58]
Lathe,[87]
Reform Judaism,"[72, 70, 80]"
Strength athletics,[83]
Sinology,"[63, 72, 58, 79, 91, 87]"
Fokker,[83]
Luftwaffe,"[36, 54, 53, 72, 74, 64, 60, 86, 59, 88, 78, 92, 84, 62, 42, 43]"
Škoda Works,[61]
Lebanese Air Force,[93]
Caving,[39]
Music sequencer,[63]
Prostitution,"[45, 85, 59, 25, 57, 37]"
Switchboard operator,[55]
Baker,"[115, 86, 86, 88, 87, 74]"
Catering,"[115, 72]"
National Liberation Council,[41]
American League,"[66, 77, 74, 77]"
Gettysburg National Military Park,[93]
Sitar,[44]
Talk radio,"[61, 65, 39, 72, 92, 84]"
Theosophy,"[95, 82, 85, 72]"
Buddhist philosophy,[71]
Travel,"[71, 66]"
Bhikkhu,"[71, 65, 78, 116, 86, 104, 75, 79]"
Political boss,[84]
National Association for the Advancement of Colored People,"[102, 77, 84]"
Piaggio,[60]
Screenplay,[61]
Soap,"[40, 63]"
Ferrari,[90]
Kodak,[82]
William Shakespeare,"[84, 69, 76, 80]"
English literature,"[84, 53]"
Confederate States Army,"[82, 76]"
Occult,"[75, 74, 49, 71]"
Vyākaraṇa,[70]
Samastha Kerala Jamiyyathul Ulama,[82]
Kapellmeister,"[70, 86, 60, 52, 72, 76, 74, 66, 62]"
Music publisher (sheet music),"[70, 84]"
Harpsichordist,"[71, 46, 101, 81]"
Louisiana Tech University,"[93, 68, 84]"
Howdy Doody,[90]
Agricultural extension,"[89, 87, 60]"
Drummer,"[74, 72, 67, 76, 76, 54, 66, 79, 36, 84, 45, 69, 74, 69, 70, 68, 50, 73, 87]"
Comic strip,[60]
Church history,"[91, 80, 72, 79, 59]"
Streetball,[54]
United States Navy,"[76, 74, 96, 77, 26, 43, 75, 30, 75, 81]"
New York State Police,[76]
Hot Springs Arkansas,[46]
Cowboy,"[89, 98, 73, 61, 42, 28, 82, 85, 32, 23, 80, 32, 33, 64, 75, 42, 76, 35, 37, 71, 29, 41, 67]"
Chemical Corps,[22]
Officer cadet,[20]
Topography,"[77, 70, 66, 72]"
Northwest Territory,[53]
Militia (United States),"[53, 72, 45]"
American pioneers to the Northwest Territory,"[53, 80, 45, 68, 54]"
Major League Baseball,"[85, 77, 51, 83, 73, 93, 51, 58, 88]"
Virginia Port Authority,[89]
Onondaga people,[62]
Research,"[57, 82, 80, 1975, 58, 71, 91, 81, 72, 78, 69]"
Apostolic vicariate,[91]
Advice column,[84]
Scout (sport),[71]
Illinois House of Representatives,"[70, 81, 79, 53]"
Illinois Treasurer,[70]
Ministry of National Defence (Romania),"[56, 64]"
Art history,"[79, 77, 71, 72, 56, 99, 77, 85, 85, 59, 78]"
The arts,[79]
People's Chamber,[69]
Governing Mayor of Berlin,[69]
Thomaskantor,"[79, 84]"
Stockman (Australia),"[80, 77, 57]"
Meteorology,"[51, 99, 73, 46, 33, 70, 78, 70, 87, 69, 72, 93, 95, 83, 76, 82, 63, 83, 47, 78]"
Assistant director,"[66, 74, 72, 60, 85, 56, 70, 65, 65, 90, 61, 56, 53, 75, 92, 83, 90, 76, 80, 73, 54, 68]"
Unit production manager,"[66, 97, 85, 65, 90, 76, 69, 54, 66]"
Allied Control Council,[95]
Civil Defence Corps,[95]
Pottery,"[89, 59, 65, 78, 71]"
Natural history,"[88, 89, 70, 56, 44, 86, 63, 46, 94, 52, 84, 91, 85, 81, 84, 80, 45, 84, 92, 65, 79, 66, 76, 73, 93, 65, 57, 70, 46, 73, 52, 97, 78, 73, 81, 76, 101, 61, 70, 93, 86, 82, 63, 70, 74, 82, 73, 46, 66, 72, 79, 77, 55, 54, 72, 89, 53, 49, 75, 59, 1784, 69, 83, 59, 79, 74, 69, 47, 49]"
United States Junior Chamber,[91]
Architectural photographers,[92]
Tram,[80]
Gynaecology,"[87, 87, 88, 70, 65, 65, 91, 90, 93, 72, 79, 75, 85, 81, 92, 83, 76, 72, 81, 92]"
Bundeswehr,"[75, 83, 71, 88, 81, 92, 85, 84, 81, 95, 75, 85, 88, 86, 83, 60, 99, 75, 76, 80, 89, 80, 88, 73, 78]"
Stonemasonry,"[63, 67, 68, 71, 94, 71, 37, 80]"
Police officer,"[63, 76, 65, 90, 35, 48, 75, 61, 72, 91, 71, 60, 86, 79, 75, 71, 60, 88, 87, 43, 69, 80, 83, 49]"
Schutzstaffel,"[35, 38, 45, 47, 51, 52, 87, 58, 43, 89, 47, 61]"
Anarchism,"[56, 82, 40, 71, 87, 85]"
Geophysics,"[84, 70, 98, 91, 79]"
Journalism,"[77, 40, 76, 58, 45, 66, 77, 75, 59, 44, 94, 79, 77, 95, 46, 83, 82, 73, 25, 55, 90, 42]"
University,"[83, 75, 81, 58, 80, 90]"
Jet Propulsion Laboratory,"[89, 88]"
Art critic,"[73, 57, 76, 90, 90, 61, 89, 84, 74, 68, 63, 54, 86, 81, 53, 72, 80, 61, 61, 84, 59, 61, 83, 84, 81]"
Arts administration,[73]
Reed College,[80]
The Oregonian,"[80, 72]"
First Interstate Bancorp,[80]
Sikorsky Aircraft,[83]
Evergreen International Aviation,[83]
BirdAir,[83]
High Sheriff of Leicestershire,[83]
Chief constable,"[81, 94, 74]"
United Kingdom,"[95, 55, 63, 85, 77, 70, 63, 81, 59, 57, 79, 85, 91, 91, 90]"
Racal,"[83, 74, 79]"
Automotive engineering,"[65, 77, 76]"
Plant collecting,[54]
Stockbroker,"[82, 77, 58, 73, 84, 75, 73, 66, 37, 77, 75, 72, 74, 82, 75, 71, 74, 74, 72, 89, 76, 75, 74]"
Publican,"[82, 48, 83, 55, 95, 59, 70, 62, 76, 84, 55, 70, 89]"
Genealogy,"[88, 59, 90, 72, 77, 90, 76, 58, 69]"
Oil,"[74, 61, 82, 79, 84, 95, 88, 70, 90, 69, 81, 97, 83, 79, 74, 91, 78, 85, 75, 75, 84]"
Hollywood,"[93, 71, 58]"
Real estate broker,"[83, 1977, 77, 73, 71, 65, 52, 77, 58, 66, 39, 56, 87, 69, 97, 70, 89]"
Navvy,[53]
Stevedore,"[53, 47, 63, 70, 32]"
Sugarcane,"[53, 87, 112, 63, 71, 74, 80, 78, 78, 91, 84, 89]"
National Steel Corporation,[82]
ISG Weirton Steel,[82]
Torero,"[29, 70, 38, 63, 66]"
Horror host,[74]
Weather forecasting,"[66, 75, 83, 92, 69, 60]"
Northern Ireland,"[28, 93]"
Heilpraktiker,[88]
Mining,"[62, 71, 74, 69]"
Mineralogy,"[65, 84, 79, 60, 54, 61, 77, 74]"
Pärnu,[61]
Parnawa Voivodeship,[61]
Starosta,"[61, 20]"
Attorney general,"[63, 93, 90, 54, 95]"
